date	elecRead
2019-05-31	7.63
2019-06-01	7.63
2019-06-02	7.8
2019-06-03	7.8
2019-06-04	7.8
2019-06-05	7.8
2019-06-06	7.8
2019-06-07	7.82
2019-06-08	7.82
2019-06-09	7.82
2019-06-10	7.82
2019-06-11	7.82
2019-06-12	7.82
2019-06-13	7.82
2019-06-14	7.82
2019-06-15	7.82
2019-06-16	7.82
2019-06-17	7.82
2019-06-18	7.82
2019-06-19	7.82
2019-06-20	7.82
2019-06-21	7.82
2019-06-22	7.82
2019-06-23	7.82
2019-06-24	7.82
2019-06-25	7.82
2019-06-26	7.83
2019-06-27	7.83
2019-06-28	7.83
2019-06-29	7.83
2019-06-30	7.83
2019-07-01	7.83
2019-07-02	7.83
2019-07-04	7.83
2019-07-05	7.83
2019-07-06	7.83
2019-07-07	7.83
2019-07-08	7.83
2019-07-09	7.83
2019-07-10	8.14
2019-07-11	8.67
2019-07-12	8.93
2019-07-13	9.04
2019-07-14	9.15
2019-07-15	9.26
2019-07-16	9.37
2019-07-17	9.84
2019-07-18	9.84
2019-07-19	10.08
2019-07-20	10.08
2019-07-21	10.08
2019-07-22	10.1
2019-07-23	10.1
2019-07-24	10.1
2019-07-25	10.1
2019-07-26	10.1
2019-07-27	10.1
2019-07-28	10.1
2019-07-29	10.1
2019-07-30	10.1
2019-08-01	10.1
2019-08-01	10.1
2019-08-02	10.1
2019-08-03	10.1
2019-08-04	10.1
2019-08-05	10.1
2019-08-06	18.26
2019-08-07	37.28
2019-08-08	54.89
2019-08-09	84.5
2019-08-10	90.08
2019-08-11	91.75
2019-08-12	93.38
2019-08-13	95.04
2019-08-14	96.72
2019-08-15	98.47
2019-08-16	114.45
2019-08-17	134.49
2019-08-18	153.1
2019-08-19	172.02
2019-08-20	190.4
2019-08-21	207.05
2019-08-22	223.58
2019-08-23	241.46
2019-08-24	249.69
2019-08-25	251.37
2019-08-26	253.13
2019-08-27	259.29
2019-08-28	272.18
2019-08-29	285.02
2019-08-30	296.66
2019-09-01	315.44
2019-09-01	315.44
2019-09-02	315.44
2019-09-02	315.44
2019-09-02	315.44
2019-09-02	315.44
2019-09-02	325.12
2019-09-02	325.12
2019-09-03	340.57
2019-09-03	340.57
2019-09-04	355.72
2019-09-05	361.76
2019-09-06	367.22
2019-09-06	367.22
2019-09-06	367.22
2019-09-07	378.87
2019-09-08	390.21
2019-09-09	398.52
2019-09-10	406.9
2019-09-11	411.74
2019-09-12	417.02
2019-09-13	422.74
2019-09-14	428.16
2019-09-15	433
2019-09-16	439.07
2019-09-17	445.73
2019-09-18	450.79
2019-09-19	456.15
2019-09-20	465.13
2019-09-21	469.87
2019-09-22	475.2
2019-09-23	479.4
2019-09-24	484.46
2019-09-25	489.27
2019-09-26	493.46
2019-09-27	496.71
2019-09-28	501.27
2019-09-29	504.35
2019-10-02	513.61
2019-10-02	513.61
2019-10-02	513.61
2019-10-03	518.04
2019-10-04	520.01
2019-10-05	523.35
2019-10-06	525.93
2019-10-07	529.1
2019-10-08	531.79
2019-10-09	534.53
2019-10-10	537.64
2019-10-11	541.72
2019-10-12	547.21
2019-10-13	549.98
2019-10-14	553.3
2019-10-15	556.11
2019-10-16	560.21
2019-10-18	583.77
2019-10-19	585.66
2019-10-20	588.53
2019-10-21	591.31
2019-10-22	596.88
2019-10-23	599.72
2019-10-24	605.2
2019-10-28	640.86
2019-10-29	646.91
2019-10-30	650.35
2019-11-02	660.94
2019-11-03	662.73
2019-11-04	668.96
2019-11-05	682.93
2019-11-06	697.52
2019-11-07	699.48
2019-11-08	704.25
2019-11-09	732.95
2019-11-10	749.71
2019-11-11	755.8
2019-11-12	757.48
2019-11-13	760.52
2019-11-14	762.46
2019-11-15	770.9
2019-11-16	795.16
2019-11-17	810.9
2019-11-18	812.53
2019-11-19	818.5
2019-11-20	834.35
2019-11-22	843.14
2019-11-23	846.76
2019-11-24	865.14
2019-11-25	869.83
2019-11-26	877.88
2019-11-27	892.5
2019-11-28	902.37
2019-11-29	912.76
2019-12-04	932
2019-12-05	933.65
2019-12-06	935.45
2019-12-07	937.17
2019-12-08	938.87
2019-12-09	941.62
2019-12-10	943.53
2019-12-11	946.97
2019-12-12	950.18
2019-12-13	953.97
2019-12-14	955.57
2019-12-15	957.93
2019-12-16	959.66
2019-12-17	961.22
2019-12-18	962.96
2019-12-19	964.6
2019-12-20	966.35
2019-12-21	967.97
2019-12-22	969.71
